TIDM,Issuer Name,Instrument Name,ISIN,MiFIR Identifier Code,MiFIR Identifier Description,ICB Industry,ICB Super-Sector Name,Start date,Country of Incorporation,Trading Currency,LSE Market,FCA Listing Category,Market Segment Code,Market Sector Code
WTEC,SSGA SPDR ETFS EUROPE II PLC,SPDR MSCI WORLD TECHNOLOGY UCITS ETF,IE00BYTRRD19,ETFS,ETFs,Financials,Financial Services ,42494,Ireland,USD,MAIN MARKET,,EUET,UETY
WTEL,SSGA SPDR ETFS EUROPE II PLC,SPDR MSCI WORLD COMM SERVE UCITS ETF,IE00BYTRRG40,ETFS,ETFs,Financials,Financial Services ,42494,Ireland,USD,MAIN MARKET,,EUET,UETY
WUTI,SSGA SPDR ETFS EUROPE II PLC,SPDR MSCI WORLD UTILITIES UCITS ETF,IE00BYTRRH56,ETFS,ETFs,Financials,Financial Services ,42494,Ireland,USD,MAIN MARKET,,EUET,UETY
WVAL,SSGA SPDR ETFS EUROPE II PLC,SPDR MSCI WLD VAL,IE00BJXRT813,ETFS,ETFs,Financials,Financial Services ,44078,Ireland,USD,MAIN MARKET,,EUET,UETY
ACWD,SSGA SPDR ETFS EUROPE I PLC,SPDR MSCI ACWI UCITS ETF $,IE00B44Z5B48,ETFS,ETFs,Financials,Financial Services ,40750,Ireland,USD,MAIN MARKET,,EUET,UETY
ACWI,SSGA SPDR ETFS EUROPE I PLC,SPDR MSCI ACWI UCITS ETF,IE00B44Z5B48,ETFS,ETFs,Financials,Financial Services ,40750,Ireland,GBP,MAIN MARKET,,EUE2,UE2K
ASDV,SSGA SPDR ETFS EUROPE I PLC,SPDR S&P PAN ASIA DIVIDEND UCITS ETF,IE00B9KNR336,ETFS,ETFs,Financials,Financial Services ,41411,Ireland,USD,MAIN MARKET,,EUET,UETY
EDVD,SSGA SPDR ETFS EUROPE I PLC,SPDR S&P EMERGING MARKETS DVD UCIT ETF $,IE00B6YX5B26,ETFS,ETFs,Financials,Financial Services ,40836,Ireland,USD,MAIN MARKET,,EUE2,UE2K
EMAD,SSGA SPDR ETFS EUROPE I PLC,SPDR MSCI EM ASIA UCITS ETF $,IE00B466KX20,ETFS,ETFs,Financials,Financial Services ,40750,Ireland,USD,MAIN MARKET,,EUET,UETY
EMAS,SSGA SPDR ETFS EUROPE I PLC,SPDR MSCI EM ASIA UCITS ETF,IE00B466KX20,ETFS,ETFs,Financials,Financial Services ,40750,Ireland,GBP,MAIN MARKET,,EUE2,UE2K
EMDD,SSGA SPDR ETFS EUROPE I PLC,SPDR BBARC EM LOCAL BOND UCITS $,IE00B4613386,ETFS,ETFs,Financials,Financial Services ,40750,Ireland,USD,MAIN MARKET,,EUET,UETY
EMDL,SSGA SPDR ETFS EUROPE I PLC,SPDR BBARC EM LOCAL BOND UCITS,IE00B4613386,ETFS,ETFs,Financials,Financial Services ,40750,Ireland,GBP,MAIN MARKET,,EUE2,UE2K
EMDV,SSGA SPDR ETFS EUROPE I PLC,SPDR S&P EMERGING MARKETS DVDND UCIT ETF,IE00B6YX5B26,ETFS,ETFs,Financials,Financial Services ,40836,Ireland,GBP,MAIN MARKET,,EUET,UETY
EMIL,SSGA SPDR ETFS EUROPE I PLC,SPDR EM INFLATION LINKED BOND UCITS ETF,IE00B7MXFZ59,ETFS,ETFs,Financials,Financial Services ,41390,Ireland,USD,MAIN MARKET,,EUET,UETY
EMRD,SSGA SPDR ETFS EUROPE I PLC,SPDR MSCI EMERGING MARKETS UCITS ETF $,IE00B469F816,ETFS,ETFs,Financials,Financial Services ,40750,Ireland,USD,MAIN MARKET,,EUET,UETY
EMSD,SSGA SPDR ETFS EUROPE I PLC,SPDR MSCI EMRG MRKTS SM CAP UCITS ETF $,IE00B48X4842,ETFS,ETFs,Financials,Financial Services ,40750,Ireland,USD,MAIN MARKET,,EUET,UETY
EMSM,SSGA SPDR ETFS EUROPE I PLC,SPDR MSCI EMERGING MARKETS SMALL CAP ETF,IE00B48X4842,ETFS,ETFs,Financials,Financial Services ,40750,Ireland,GBP,MAIN MARKET,,EUE2,UE2K
EU13,SSGA SPDR ETFS EUROPE I PLC,SPDR BBARC 1-3 YR EURO GOV UCITS ETF,IE00B6YX5F63,ETFS,ETFs,Financials,Financial Services ,41982,Ireland,EUR,MAIN MARKET,,EUET,UETY
EUAG,SSGA SPDR ETFS EUROPE I PLC,SPDR BBARC EURO AGG BOND UCITS ETF,IE00B41RYL63,ETFS,ETFs,Financials,Financial Services ,41982,Ireland,EUR,MAIN MARKET,,EUET,UETY
EUCO,SSGA SPDR ETFS EUROPE I PLC,SPDR BBARC  EURO CORP BOND UCITS ETF,IE00B3T9LM79,ETFS,ETFs,Financials,Financial Services ,41982,Ireland,EUR,MAIN MARKET,,EUET,UETY
EUDI,SSGA SPDR ETFS EUROPE I PLC,SPDR S&P EURO DIVIDEND ARISTOCRATS ETF,IE00B5M1WJ87,ETFS,ETFs,Financials,Financial Services ,40969,Ireland,EUR,MAIN MARKET,,EUE2,UE2K
EUDV,SSGA SPDR ETFS EUROPE I PLC,SPDR S&P EURO DIVIDEND ARISTOCRATS ETF£,IE00B5M1WJ87,ETFS,ETFs,Financials,Financial Services ,40969,Ireland,GBP,MAIN MARKET,,EUET,UETY
EURE,SSGA SPDR ETFS EUROPE I PLC,SPDR FTSE EPRA EUR EX UK RE,IE00BSJCQV56,ETFS,ETFs,Financials,Financial Services ,42228,Ireland,EUR,MAIN MARKET,,EUET,UETY
FTAD,SSGA SPDR ETFS EUROPE I PLC,SPDR FTSE UK ALL SHARES UCITS ETF (DIST),IE00BD5FCF91,ETFS,ETFs,Financials,Financial Services ,43220,Ireland,GBP,MAIN MARKET,,EUET,UETY
FTAL,SSGA SPDR ETFS EUROPE I PLC,SPDR FTSE UK ALL-SHARE UCITS ETF,IE00B7452L46,ETFS,ETFs,Financials,Financial Services ,40969,Ireland,GBP,MAIN MARKET,,EUET,UETY
GBDV,SSGA SPDR ETFS EUROPE I PLC,SPDR S&P GLOBAL DIVIDEND UCITS ETF,IE00B9CQXS71,ETFS,ETFs,Financials,Financial Services ,41411,Ireland,GBP,MAIN MARKET,,EUE2,UE2K
GBRE,SSGA SPDR ETFS EUROPE I PLC,SPDR DOW JONES GLOBAL REAL EST UCITS ETF,IE00B8GF1M35,ETFS,ETFs,Financials,Financial Services ,41208,Ireland,GBP,MAIN MARKET,,EUE2,UE2K
GLAB,SSGA SPDR ETFS EUROPE I PLC,SPDR BBARC GBL AGG £HDG UCITS ETF,IE00BF1QPJ56,ETFS,ETFs,Financials,Financial Services ,43147,Ireland,GBP,MAIN MARKET,,EUET,UETY
GLAD,SSGA SPDR ETFS EUROPE I PLC,SPDR BB GL AGG BOND $ HDG UCITS (ACC),IE00BKC94M46,ETFS,ETFs,Financials,Financial Services ,43749,Ireland,USD,MAIN MARKET,,EUET,UETY
